Rank,2009 Rank,Company and Year-end,Profit ($000),% Chg,Revenue ($000),% Chg,Assets ($000),% Chg,Mkt Cap ($-mil),Employees,Industry,Rank Change,Profit Margin,Revenue per Employee,Profit Per Employee,Return on Assets
220,204,First Capital Realty(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=FCR-T,41338,-1,498020,9,4120713,12,2470,325,Property Management & Investment,-16,0,1532369,127194,0
101,160,Dundee Corp.(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=DC.A-T,193320,210,792935,95,4058453,19,1445,40,Finance and Leasing,59,0,19823375,4833000,0
70, ,Brookfield Office Properties Canada(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=BOX.UN-T,329000,249,642100,1478,4007200,7,2017,0,Property Management & Investment,,1,#DIV/0!,#DIV/0!,0
137,115,Nova Scotia Power(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=NSI.PR.D-T,121300,11,1203600,-1,3991300,15, ,1900,Electrical Utilities,-22,0,633474,63842,0
91,975,Pacific Rubiales Energy(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=PRE-T,217606,256,1619680,136,3855086,31,9033,1285,Oil and Gas Producers,884,0,1260451,169343,0
71,141,Lundin Mining(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=LUN-T,317124,330,983786,41,3833388,2,4214,1400,Metal Mines,70,0,702704,226517,0
994,988,Opti Canada(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=OPC-T,-273816,11,384125,-13,3792568,-1,189,20,Integrated Oils,-6,-1,19206250,-13690800,0
94,106,Eldorado Gold(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=ELD-T,206063,101,811276,122,3779909,10,10141,4448,Precious Metals,12,0,182391,46327,0
246,976,Brookfield Renewable Power(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=BRC.UN-T,34700,120,332400,15,3740600,6,2160,25,Electrical Utilities,730,0,13296000,1388000,0
331,167,Cascades Inc.(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=CAS-T,17000,-72,3964000,1,3724000,-2,647,12400,Packaging & Containers,-164,0,319677,1371,0
72,58,Alimentation Couche-Tard(Ap10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=ATD.B-T,302900,19,16464100,4,3696700,14,3368,53000,Food Stores,-14,0,310643,5715,0
107,84,Valener Inc.(Se10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=VNR-T,178683,13,2042438,-10,3666647,11,2032,2013,Pipelines,-23,0,1014624,88765,0
969,96,Finning International(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=FTT-T,-78373,-160,4642686,3,3613641,-2,4644,11900,Wholesale Distributors,-873,0,390142,-6586,0
52,993,Ultra Petroleum(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=UPL-N,464459,203,1305098,60,3595615,75,7288,108,Oil and Gas Producers,941,0,12084241,4300546,0
125,126,WestJet Airlines(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=WJA-T,136720,39,2619171,15,3562844,2,2011,6291,Transportation,1,0,416336,21733,0
79,97,Iamgold Corp.(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=IMG-T,279793,145,1210688,18,3494947,17,6618,5030,Precious Metals,18,0,240693,55625,0
163,165,Progressive Waste Solutions(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=BIN-T,82169,38,1435672,28,3390487,62,2937,6675,Emvironmental Services,2,0,215082,12310,0
1000,59,Bell Aliant(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=BA-T,-404500,-240,-397600,-231,3386700,-18,3311,8000,Telephone Utilities,-941,1,-49700,-50563,0
989,906,Uranium One(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=UUU-T,-189702,-426,332946,54,3369057,57,4556,249,Non-Base Metal Mining,-83,-1,1337133,-761855,0
97,119,Bonavista Energy(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=BNP-T,201581,89,973689,31,3342988,8,4509,310,Oil and Gas Producers,22,0,3140932,650261,0
99,122,TMX Group(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=X-T,196535,88,581982,3,3281919,-7,2749,849,Other Services,23,0,685491,231490,0
69,69,CI Financial(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=CIX-T,330815,35,1378395,13,3265266,9,6467,1280,Investment Companies and Funds,0,0,1076871,258449,0
64,65,Inmet Mining(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=IMN-T,358898,33,1109494,12,3262576,12,4755,4270,Integrated Mines,1,0,259835,84051,0
62,62,Saputo Inc.(Ma10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=SAP-T,382714,37,5810582,0,3253451,-7,6136,9800,Food Processing,0,0,592917,39052,0
81,981,Equinox Minerals(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=EQN-T,269105,247,942769,101,3242295,122,5260,5,Metal Mines,900,0,188553800,53821000,0
992,989,Ivanhoe Mines(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=IVN-T,-211479,25,346380,859,3218474,110,13077,1347,Precious Metals,-3,-1,257149,-157000,0
227,915,Canaccord Financial(Ma10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=CF-T,38497,181,577537,23,3123848,54,617,1670,Investment Houses,688,0,345831,23052,0
169,208,Veresen Inc.(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=VSN-T,79741,112,694422,7,3118579,9,1887,100,Pipelines,39,0,6944220,797410,0
165,158,Celestica Inc.(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=CLS-T,80800,47,6530700,7,3103600,0,2067,35000,Electrical & Electronic,-7,0,186591,2309,0
150,474,Methanex Corp.(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=MX-T,101733,   n/m ,1991585,66,3070159,5,2802,878,Chemicals,324,0,2268320,115869,0
